component,metric,delta_log10_metric,sign,case,Pe,baseline_RE_abs
porosity,1.102550716242393e+16,-0.19498251827586446,negative,Pe0p1,0.1,1479561875.2726252
permeability,3919498838360344.0,-0.6441505539226173,negative,Pe0p1,0.1,1479561875.2726252
tortuosity,2.0457083579212104e+16,0.07346262552436157,positive,Pe0p1,0.1,1479561875.2726252
fluid_chemistry,7405225913228842.0,-0.36784278179332275,negative,Pe0p1,0.1,1479561875.2726252
nonlinear_interaction_residual,,0.22653427767701984,positive,Pe0p1,0.1,1479561875.2726252
full_observed_change,2139942692840743.8,-0.9069789507904231,negative,Pe0p1,0.1,1479561875.2726252
porosity,9807271851962326.0,-0.2458328854719212,negative,Pe1,1.0,1479561893.0749397
permeability,1187592823499004.5,-1.162713534798108,negative,Pe1,1.0,1479561893.0749397
tortuosity,2.0753782392019464e+16,0.07971615941529347,positive,Pe1,1.0,1479561893.0749397
fluid_chemistry,28386696452477.285,-2.7842662455865574,negative,Pe1,1.0,1479561893.0749397
nonlinear_interaction_residual,,0.25410768234267245,positive,Pe1,1.0,1479561893.0749397
full_observed_change,2389969040895.6904,-3.8589888240986205,negative,Pe1,1.0,1479561893.0749397
porosity,9430856658191950.0,-0.26282995633076933,negative,Pe10,10.0,1479561890.1855907
permeability,1197855976695242.0,-1.1589764961659859,negative,Pe10,10.0,1479561890.1855907
tortuosity,2.076089807809922e+16,0.07986503606922997,positive,Pe10,10.0,1479561890.1855907
fluid_chemistry,21008983062469.887,-2.9149760693527917,negative,Pe10,10.0,1479561890.1855907
nonlinear_interaction_residual,,0.26768938158113764,positive,Pe10,10.0,1479561890.1855907
full_observed_change,1770732653694.4016,-3.9892281041991793,negative,Pe10,10.0,1479561890.1855907
